time,control_bump_0,control_bump_1,control_drive_0,control_drive_1,control_vision_0,control_vision_1,drive,decoder_driveout,decoder_bumpout,decoder_bumpout-filtered,decoder_vision,decoder_positionout
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.011,0.000,0.000,0.613,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.021,0.000,0.000,0.865,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.031,0.000,0.000,0.953,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.041,0.000,0.000,0.984,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.050,0.000,0.000,0.994,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.061,0.000,0.000,0.998,0.000,0.000,0.000,0.000;0.000,-0.185;0.284,0.360;0.458,-0.284;-0.364,0.181;0.166,0.000;0.000
0.070,0.000,0.000,0.999,0.000,0.000,0.000,0.000;0.000,0.061;-0.163,-0.399;-0.199,-0.197;-0.253,0.137;0.143,0.000;0.000
0.081,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.608;0.037,-0.546;0.225,-0.030;-0.139,-0.013;-0.128,0.054;0.018
0.090,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.567;-0.030,0.217;-0.319,0.059;-0.186,-0.237;0.123,0.349;0.117
0.100,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.511;-0.082,0.328;-0.188,0.021;-0.065,-0.268;-0.016,0.071;0.008
0.111,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.490;-0.101,0.177;-0.431,0.006;-0.020,-0.174;0.339,-0.208;-0.062
0.121,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.538;-0.256,0.334;0.305,0.002;-0.007,-0.237;0.359,-0.202;-0.359
0.131,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.751;-0.633,0.407;-0.470,0.001;-0.002,0.104;-0.006,-0.223;0.044
0.140,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.968;-0.662,0.146;-0.131,0.202;0.204,0.058;-0.193,-0.263;0.295
0.150,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.058;-0.673,0.183;-0.015,0.132;0.133,0.023;-0.218,-0.154;0.308
0.161,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.350;-0.681,-0.392;-0.158,0.544;0.121,-0.090;-0.263,-0.048;-0.257
0.170,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.569;-0.632,-0.063;-0.227,1.106;0.188,0.139;0.135,-0.094;-0.243
0.180,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.452;-0.360,-0.022;-0.079,1.337;0.216,-0.078;0.020,0.239;-0.265
0.191,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.568;0.276,0.288;-0.471,0.420;0.068,-0.153;0.781,0.229;0.209
0.200,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.641;0.530,-0.588;-0.050,0.163;0.026,0.110;0.295,0.180;0.906
0.211,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.019;0.171,-0.119;0.008,0.051;0.008,0.001;-0.070,0.376;0.721
0.221,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.841;0.433,0.039;-0.067,-0.125;-0.422,-0.012;0.096,0.869;0.356
0.230,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.553;0.535,-0.007;0.073,-0.020;-0.693,0.115;-0.123,0.337;0.138
0.241,0.000,0.000,0.952,0.000,0.000,0.000,0.000;0.000,0.534;0.259,0.359;-0.021,-0.006;-0.218,0.008;0.091,0.226;0.070
0.250,0.000,0.000,0.981,0.000,0.000,0.000,0.000;0.000,0.685;0.072,0.064;-0.019,0.063;-0.040,-0.110;0.170,1.046;0.156
0.261,0.000,0.000,0.955,0.000,0.000,0.000,0.000;0.000,1.122;-0.111,0.020;-0.006,-0.000;0.050,0.120;0.110,0.850;0.327
0.270,0.000,0.000,0.983,0.000,0.000,0.000,0.000;0.000,1.354;-0.062,-0.053;-0.139,-0.155;-0.252,0.215;-0.184,0.869;0.036
0.280,0.000,0.000,0.994,0.000,0.000,0.000,0.000;0.000,1.299;-0.039,-0.239;0.436,-0.586;-1.016,0.282;0.009,0.662;-0.173
0.291,0.000,0.000,0.998,0.000,0.000,0.000,0.000;0.000,0.408;-0.012,0.015;0.087,-0.212;-0.369,0.153;-0.006,0.425;-0.207
0.300,0.000,0.000,0.999,0.000,0.000,0.000,0.000;0.000,0.591;0.130,0.460;0.132,-0.082;-0.143,0.000;-0.177,0.206;-0.118
0.310,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.087;0.541,0.644;0.150,-0.029;-0.050,0.097;-0.293,0.029;0.060
0.321,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.323;0.405,-0.946;-0.868,-0.202;-0.137,0.010;-0.099,-0.262;-0.340
0.330,0.000,0.000,1.000,0.522,0.000,0.000,0.000;0.000,0.721;-0.116,-0.164;-1.769,-0.201;-0.211,0.127;0.093,-0.165;-0.230
0.340,0.000,0.000,1.000,0.833,0.000,0.000,0.000;0.000,1.000;-0.152,0.441;-2.243,-0.070;-0.074,-0.181;0.244,0.568;0.085
0.351,0.000,0.000,1.000,0.948,0.000,0.000,0.000;0.000,0.992;-0.528,0.104;-0.750,-0.355;1.096,0.117;0.355,0.830;0.045
0.360,0.000,0.000,1.000,0.980,0.000,0.000,0.000;0.000,0.502;-0.594,-0.041;-0.251,-0.418;0.243,0.096;0.205,0.794;-0.237
0.370,0.000,0.000,1.000,0.993,0.000,0.000,0.000;0.000,0.922;-0.514,-0.014;-0.087,-0.827;-0.357,-0.222;-0.022,0.359;-0.181
0.381,0.000,0.000,1.000,0.998,0.000,0.000,0.000;0.000,1.191;-0.464,0.004;0.094,-0.287;-0.390,-0.217;-0.315,0.598;-0.160
0.391,0.000,0.000,1.000,0.999,0.000,0.000,0.000;0.000,0.932;0.108,-0.121;0.033,-0.194;-1.090,0.023;0.207,0.544;0.294
0.400,0.000,0.000,1.000,0.478,0.000,0.000,0.000;0.000,0.913;0.253,-0.229;0.013,0.080;-0.747,0.155;0.214,0.964;-0.110
0.411,0.000,0.000,1.000,0.150,0.000,0.000,0.000;0.000,1.000;0.256,-0.618;0.336,0.289;0.072,-0.130;0.348,1.479;-0.833
0.421,0.000,0.000,1.000,0.052,0.000,0.000,0.000;0.000,0.743;0.082,-0.823;0.194,0.345;-0.114,-0.285;0.189,0.828;-0.352
0.430,0.000,0.000,1.000,0.020,0.000,0.000,0.000;0.000,0.501;-0.066,-0.260;-0.287,0.409;-0.589,-0.211;0.113,0.638;-0.122
