time,control_bump_0,control_bump_1,control_drive_0,control_drive_1,control_vision_0,control_vision_1,drive,decoder_driveout,decoder_bumpout,decoder_bumpout-filtered,decoder_vision,decoder_positionout
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.011,0.000,0.000,0.613,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.021,0.000,0.000,0.865,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.031,0.000,0.000,0.953,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.041,0.000,0.000,0.984,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.050,0.000,0.000,0.951,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.061,0.000,0.000,0.984,0.000,0.000,0.000,0.000;0.000,-0.197;0.533,0.258;-0.224,0.007;0.492,0.000;0.000,-0.265;-0.150
0.070,0.000,0.000,0.994,0.000,0.000,0.000,0.000;0.000,0.229;0.492,0.100;-0.087,-0.788;0.502,0.438;0.813,0.210;0.083
0.081,0.000,0.000,0.998,0.000,0.000,0.000,0.000;0.000,0.473;0.237,0.031;-0.027,-0.575;0.378,0.714;1.325,-0.176;-0.282
0.090,0.000,0.000,0.999,0.000,0.000,0.000,0.000;0.000,0.316;0.164,0.012;-0.011,0.094;0.066,0.791;1.468,0.274;-0.092
0.100,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.303;0.182,0.004;-0.004,0.287;0.001,-0.024;0.106,0.128;-0.124
0.111,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.543;0.307,0.001;-0.001,0.463;-0.016,-0.071;-0.056,-0.244;-0.098
0.121,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.686;0.225,0.000;-0.000,0.238;-0.003,0.409;0.006,-0.090;-0.004
0.131,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.830;0.127,0.209;-0.329,0.094;-0.197,1.089;0.099,-0.594;-0.714
0.140,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.794;0.021,0.552;-0.872,0.209;-0.107,1.312;0.129,-0.079;-0.139
0.150,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.981;0.173,0.617;-0.974,0.451;-0.309,0.609;-0.196,0.112;-0.300
0.161,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.890;0.382,0.194;-0.306,0.193;-0.988,0.304;-0.035,-0.193;-0.105
0.170,0.000,0.000,0.952,0.000,0.000,0.000,0.000;0.000,0.873;0.299,0.075;-0.118,0.513;-0.448,0.350;-0.215,0.059;-0.069
0.180,0.000,0.000,0.983,0.000,0.000,0.000,0.000;0.000,0.887;0.640,0.024;-0.390,0.078;-0.468,0.369;-0.289,-0.008;-0.078
0.191,0.000,0.000,0.995,0.000,0.000,0.000,0.000;0.000,0.797;0.383,0.119;-0.538,-0.238;-0.172,0.395;-0.158,0.279;-0.233
0.200,0.000,0.000,0.917,0.000,0.000,0.000,0.000;0.000,0.799;-0.182,0.304;0.057,-0.362;-0.140,0.313;-0.043,-0.048;-0.158
0.211,0.000,0.000,0.974,0.000,0.000,0.000,0.000;0.000,0.650;0.214,0.305;0.233,-0.381;0.135,0.144;-0.151,-0.056;0.098
0.221,0.000,0.000,0.991,0.000,0.000,0.000,0.000;0.000,0.939;-0.006,0.106;0.081,-0.632;0.414,0.097;-0.022,0.309;-0.143
0.230,0.000,0.000,0.996,0.000,0.000,0.000,0.000;0.000,1.067;0.291,0.041;0.031,-0.338;-0.018,0.515;0.239,1.120;-0.469
0.241,0.000,0.000,0.999,0.000,0.000,0.000,0.000;0.000,1.133;0.448,0.505;0.539,-0.501;-0.244,0.612;0.392,0.647;-0.212
0.250,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.152;0.492,0.560;0.602,-0.083;-0.404,0.450;0.678,0.722;-0.015
0.261,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.031;-0.090,0.337;0.007,-0.195;-0.150,-0.048;-0.241,1.053;0.030
0.270,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.791;0.083,0.274;-0.160,-0.179;-0.134,-0.218;-0.293,0.937;-0.069
0.280,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.408;-0.010,-0.148;-0.417,-0.237;-0.184,-0.386;0.209,0.696;-0.385
0.291,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.742;-0.127,0.259;-0.992,0.088;-0.214,0.167;-0.006,0.760;-0.086
0.300,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.101;-0.434,0.572;-1.129,0.266;0.332,0.219;-0.053,0.439;-0.086
0.310,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.829;-0.282,0.448;-0.716,-0.092;-0.028,0.077;-0.019,0.524;-0.078
0.321,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.686;-0.114,1.165;-1.359,-0.133;-0.095,-0.014;0.021,0.701;-0.062
0.330,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.685;0.427,0.961;-1.091,0.143;-0.574,-0.227;0.032,0.503;0.135
0.340,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.757;0.181,0.569;-1.034,0.132;-0.244,-0.168;0.154,0.354;-0.117
0.351,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.032;-0.095,1.023;-2.686,0.169;-0.154,-0.334;0.224,-0.025;-0.287
0.360,0.000,0.000,1.000,0.271,0.000,0.000,0.000;0.000,0.917;0.093,1.150;-3.149,0.334;0.121,0.246;-0.344,0.298;-0.530
0.370,0.000,0.000,1.000,0.746,0.000,0.000,0.000;0.000,1.107;0.230,0.502;-1.379,-0.172;0.631,0.574;-0.815,0.612;-0.132
0.381,0.000,0.000,1.000,0.920,0.000,0.000,0.000;0.000,1.085;0.066,0.251;-0.664,-0.558;0.919,0.200;-0.692,0.680;-0.292
0.391,0.000,0.000,1.000,0.972,0.000,0.000,0.000;0.000,0.829;-0.171,0.385;-0.608,-0.481;0.871,-0.099;-0.486,0.442;-0.177
0.400,0.000,0.000,1.000,0.989,0.000,0.000,0.000;0.000,0.745;-0.248,0.429;-0.590,-0.286;0.530,-0.323;0.099,0.756;0.508
0.411,0.000,0.000,1.000,0.997,0.000,0.000,0.000;0.000,0.708;-0.282,0.448;-0.582,0.255;-0.098,-0.579;0.194,0.560;0.204
0.421,0.000,0.000,1.000,0.429,0.000,0.000,0.000;0.000,0.886;-0.296,-0.520;-0.579,0.274;-0.085,-0.337;0.302,0.585;0.592
0.430,0.000,0.000,1.000,0.166,0.000,0.000,0.000;0.000,1.008;-0.058,-0.079;-0.224,0.045;-0.652,-0.257;0.337,0.397;0.274
