time,control_bump_0,control_bump_1,control_drive_0,control_drive_1,control_vision_0,control_vision_1,drive,decoder_driveout,decoder_bumpout,decoder_bumpout-filtered,decoder_vision,decoder_positionout
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000,0.000;0.000
0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,-0.796;0.037,0.363;0.461,0.003;0.234,-0.119;-0.282,-0.614;-0.302
0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,-0.347;0.095,0.483;-0.061,-0.199;0.422,0.073;0.105,0.023;-0.060
0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000;0.000,-0.142;-0.229,0.052;-0.358,-0.340;0.327,0.547;0.555,0.428;0.271
0.121,0.000,0.000,0.570,0.000,0.000,0.000,0.000;0.000,-0.167;-0.268,0.082;0.734,-0.007;-0.389,0.406;0.239,0.549;0.369
0.131,0.000,0.000,0.850,0.000,0.000,0.000,0.000;0.000,-0.175;-0.282,-0.405;-0.030,-0.353;-0.449,0.050;0.145,0.591;0.403
0.140,0.000,0.000,0.942,0.000,0.000,0.000,0.000;0.000,-0.178;-0.286,-0.582;-0.029,-0.819;-0.023,-0.198;0.020,0.605;0.415
0.150,0.000,0.000,0.980,0.000,0.000,0.000,0.000;0.000,-0.179;-0.288,-0.802;-0.386,-0.069;0.244,-0.106;0.037,0.610;0.419
0.161,0.000,0.000,0.994,0.000,0.000,0.000,0.000;0.000,-0.179;-0.289,-0.193;-0.058,0.041;0.596,0.143;0.149,0.612;0.421
0.170,0.000,0.000,0.998,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,0.136;0.344,-0.044;0.099,0.085;0.259,0.613;0.422
0.180,0.000,0.000,0.999,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,0.198;-0.536,-0.471;-0.371,0.103;0.094,0.613;0.422
0.191,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,-0.610;-0.644,-0.319;-0.083,-0.034;-0.007,0.613;0.422
0.200,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,-0.323;-0.400,-0.074;-0.236,0.083;-0.249,0.613;0.422
0.211,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,0.091;-0.196,0.268;0.086,0.216;0.094,0.613;0.422
0.221,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,0.107;-0.102,0.229;0.092,0.517;-0.454,0.613;0.422
0.230,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,0.383;-0.315,0.002;-0.045,0.012;0.062,0.613;0.422
0.241,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,0.034;-0.041,-0.328;-0.553,-0.179;0.005,0.613;0.422
0.250,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,-0.056;0.142,-0.037;0.527,-0.028;-0.295,0.576;0.359
0.261,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,0.008;0.203,0.925;0.216,-0.009;-0.092,0.254;-0.121
0.270,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,-0.247;0.152,0.724;0.078,0.007;-0.039,-0.308;-0.750
0.280,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,-0.458;0.096,0.068;-0.250,-0.041;0.122,-0.540;-1.010
0.291,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,-0.293;-0.003,-0.060;-0.151,-0.713;0.442,0.029;-0.929
0.300,0.000,0.000,0.941,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,-0.477;0.662,0.044;-0.026,-1.212;0.667,0.662;-0.936
0.310,0.000,0.000,0.979,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,-1.044;0.282,0.053;0.020,-0.472;-0.026,0.923;-0.940
0.321,0.000,0.000,0.921,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,-0.415;-0.179,-0.191;-0.137,0.010;-0.289,1.019;-0.941
0.330,0.000,0.000,0.969,0.000,0.000,0.000,0.000;0.000,-0.180;-0.289,-0.063;-0.225,-0.278;-0.464,-0.257;0.075,0.561;-0.445
0.340,0.000,0.000,0.989,0.000,0.000,0.000,0.000;0.000,0.313;0.095,0.045;0.019,0.077;-0.855,-0.529;0.578,0.358;-0.372
0.351,0.000,0.000,0.997,0.000,0.000,0.000,0.000;0.000,0.623;0.598,0.039;0.143,0.150;0.213,-0.346;0.089,0.308;-0.505
0.360,0.000,0.000,0.999,0.000,0.000,0.000,0.000;0.000,0.711;0.739,0.061;0.089,0.138;0.425,-0.032;0.143,0.294;-0.543
0.370,0.000,0.000,0.909,0.000,0.000,0.000,0.000;0.000,0.746;0.797,0.197;-0.180,0.085;0.152,-0.045;0.062,-0.043;-0.454
0.381,0.000,0.000,0.971,0.000,0.000,0.000,0.000;0.000,0.668;0.895,0.182;0.616,0.456;-0.342,-0.166;-0.154,-0.133;-0.320
0.391,0.000,0.000,0.990,0.000,0.000,0.000,0.000;0.000,0.604;0.958,0.082;0.472,0.413;-0.388,-0.008;-0.108,0.313;0.194
0.400,0.000,0.000,0.915,0.000,0.000,0.000,0.000;0.000,0.584;0.979,0.310;-0.041,-0.061;-0.189,-0.089;0.120,0.563;0.312
0.411,0.000,0.000,0.930,0.000,0.000,0.000,0.000;0.000,0.574;0.988,-0.146;-0.107,-0.002;-0.055,-0.300;0.233,0.432;-0.079
0.421,0.000,0.000,0.976,0.000,0.000,0.000,0.000;0.000,0.572;0.991,-0.178;-0.029,-0.084;-0.127,0.049;0.483,0.375;-0.249
0.430,0.000,0.000,0.991,0.000,0.000,0.000,0.000;0.000,0.571;0.992,0.413;0.635,-0.184;0.268,0.091;0.511,0.385;-0.289
0.441,0.000,0.000,0.997,0.344,0.000,0.000,0.000;0.000,0.570;0.992,0.444;-0.442,-0.086;-0.042,-0.146;0.382,0.555;-0.214
